,Text,labels_encoded
49,METHODS: An initial virtual consensus conference of Mohs surgeons based on a 60-item questionnaire.,17
50,Data were validated in interviews with randomly selected Mohs surgeons.,17
51,"RESULTS: Based on retrospective reporting of 230 surgeon-years and 170,404 cases of MMS by 26 surgeons, the mean rate of floaters per tumor treated was 1.8%, and the rate of floaters per tissue block was 0.70%.",10
52,Not wiping blades between cuts when a stage is separated into subunits can predispose to floaters.,10
53,"There was also strong consensus that basal cell carcinomas, ulcerated tumors, and tissue from the first stage were more likely to yield floaters.",10
54,"There is little consensus on how to manage floaters, with possibilities including taking additional sections, taking an additional stage, or simply noting the floater.",5
55,CONCLUSION: Floaters are not rare and can complicate MMS margin assessment.,18
56,There is significant expert consensus regarding the causes of floaters and the tissue features that may predispose to them.,10
57,Floaters may be prevented by minimizing their likely causes.,5
58,There is less consensus on what to do with a floater.,19
59,"Mycobacterium avium complex, a common opportunistic pathogen among patients with AIDS, usually manifests as disseminated disease involving the lung, lymph nodes, and gastrointestinal tract.",10
60,"Primary cutaneous infections with M avium complex are extremely rare, and most cutaneous lesions are caused by dissemination.",10
61,"Cutaneous manifestations thus far reported include scaling plaques, crusted ulcers, ecthyma-like lesions, verrucous ulcers, inflammatory nodules, panniculitis, pustular lesions, and draining sinuses.",18
62,Localized skin involvement resembling sporotrichosis is unusual and to our knowledge has been reported only once in the English-language literature.,10
63,We describe an additional case of primary cutaneous M avium complex infection manifesting as sporotrichosis-like lesions on a patient with AIDS.,10
64,"BACKGROUND: Cutaneous T-cell lymphoma occurring in the context of posttransplant immunosuppression is rare, with 27 cases documented to date.",16
65,OBSERVATIONS: We report 2 new cases of posttransplant cutaneous T-cell lymphoma in patients treated at our institution.,16
66,"Both were male recipients of renal transplants who had undergone transplantation a mean of 5.3 years previously and were taking various multidrug immunosuppressive regimens, including cyclosporine, tacrolimus, mycophenolate mofetil, and prednisone.",5
67,"CONCLUSIONS: These cases underscore the association of posttransplant cutaneous T-cell lymphoma with renal transplantation, cyclosporine and tacrolimus therapy, male sex, and later onset compared with B-cell posttransplant lymphoproliferative disease.",16
68,"Relative to the general population, the incidence of cutaneous T-cell lymphoma seems increased among transplant recipients receiving immunosuppressive medications.",16
69,Exfoliative erythroderma is a rare presentation of psoriasis in children and adults.,10
70,We report a 9-year-old girl with exfoliative erythroderma secondary to plaque-type psoriasis who developed hypothalamic-pituitary-adrenal axis suppression resulting from topical treatment with a medium-potency glucocorticoid.,16
71,"This case emphasizes the need for awareness of this potentially life-threatening complication of topical glucocorticoid use, particularly in patients who have significant compromise of barrier function secondary to widespread skin disease.",16
72,Irritant contact dermatitis of the hands is a significant occupational problem.,10
73,Management primarily involves cessation of exposure to hazardous substances.,5
74,"Protective gloves can reduce or eliminate exposure of the hands to hazardous substances if used correctly, but if not selected and used correctly, protective gloves can actually cause or worsen irritant contact dermatitis of the hands by increasing exposure of the hands to hazardous chemicals.",16
75,We present two cases of occupational irritant contact dermatitis of the hands caused by incorrect use of protective gloves.,16
76,"Glove failure can occur by penetration, permeation, or contamination, and all 3 mechanisms were operative in these cases.",16
77,These cases demonstrate that correct use of gloves is at least as important as selection of gloves made of the appropriate material.,5
78,"By understanding mechanisms of glove failure, clinicians can make more appropriate recommendations for the selection and use of protective gloves in the workplace.",16
79,Triclosan is a common antibacterial chemical currently in widespread use in household and health care-related products.,8
80,"Triclosan was first introduced in 1965 and has been marketed as cloxifenol, Irgasan CH 3565, and Irgasan DP 300.",1
81,"Its most common use is in antimicrobial hand soaps, but in the United States it can also be found in consumer products such as liquid dishwashing soaps, deodorants, and toothpastes.",8
82,The concentrations used in products in the United States typically range from 0.15 to 0.3%.,12
83,"While allergy to triclosan-based products is uncommon, several cases of contact dermatitis secondary to triclosan have been reported.",16
84,"BACKGROUND: Although most commonly encountered in patients with human immunodeficiency virus infection, disseminated Mycobacterium avium complex (MAC) is becoming more common in patients receiving immunosuppressive medications.",16
85,"Disseminated MAC with skin lesions may occur, and several presentations have been reported, including panniculitis, cutaneous granulomas, pustules, ulcerations, and erythematous skin lesions.",10
86,"OBJECTIVES: The objective of this report is to describe an unusual presentation of MAC that is unlikely to be encountered frequently in the outpatient dermatology setting, especially in a patient without human immunodeficiency virus infection.",16
87,METHODS: The authors present a case of disseminated MAC infection with cutaneous manifestations in an iatrogenically immunocompromised patient.,17
88,CONCLUSIONS: Diagnosis of MAC infection is challenging given the varied clinical presentations and the difficulty in culturing MAC.,18
89,"In addition, the acid-fast stain is nonspecific.",18
90,"Clinicians should remember to consider MAC infection in patients with acid-fast-positive skin lesions, as the selection of appropriate antibiotic therapy is species specific.",5
91,Kaposi's sarcoma-associated herpesvirus (KSHV) latently infects tumor cells in patients with Kaposi's sarcoma and primary effusion lymphoma (PEL).,10
92,"The purpose of this study was to determine whether histone deacetylase inhibitors (HDAI) could induce apoptosis, with minimal viral replication, in cells latently infected with KSHV.",12
93,"Four HDAI (depsipeptide, suberoylanilide hydroxamic acid, MS-275, and trichostatin A) were studied in two PEL B cell lines (BCBL-1, BC-3).",17
94,"As expected, histone hyperacetylation was readily induced in all PEL cells exposed to HDAI.",7
95,HDAI also triggered KSHV reactivation in a time- and dose-dependent manner.,12
96,"Flow cytometric and transmission electron microscopic studies, however, revealed that reactivation occurred in only a minor percentage (3-14%) of treated cells.",7
97,"Importantly, and in contrast to viral reactivation, HDAI induced apoptotic cell death in a dose-dependent manner in a large percentage (up to 90%) of KSHV-infected cells.",7
98,"In summary, all four HDAI tested induced histone hyperacetylation in all cells, KSHV reactivation in a minority of cells, and apoptotic cell death in a majority of cells latently infected with KSHV.",12
99,These findings suggest that HDAI may be a therapeutic option for patients with KSHV-mediated diseases by rendering cells infected with KSHV susceptible to apoptosis.,5
100,Hypercoagulable states are inherited or acquired predispositions to venous or arterial thromboses that are best understood in the context of the coagulation cascade.,10
101,"Dermatologists can play a critical role in diagnosing and treating patients with hypercoagulable states because cutaneous symptoms may be a presenting manifestation, thereby reducing morbidity and mortality related to these conditions.",10
102,"This review focuses on the epidemiology and pathophysiology of hypercoagulable states, while the accompanying article iterates the basic clinical features, diagnostic testing, and management of patients who have these conditions.",10
103,Chronic wounds are a major healthcare burden.The practitioner should have an appropriate understanding of both the etiology of the wound as well as the optimal type of dressings to use.,10
104,Fundamental wound characteristics may be used to guide the practitioner's choice of dressings.,5
105,The identification of optimal dressings to use for a particular wound type is an important element in facilitating wound healing.,5
106,Researchers have sought to design wound dressings that aim to optimize each stage in the healing process.,5
107,"In addition, dressings have been designed to target and kill infection-causing bacteria, with the incorporation of antimicrobial agents.",5
108,"Chronic wounds are frequently dynamic in presentation, and the numerous wound dressings available make dressing selection challenging for the practitioner.",5
109,"Choosing the correct dressing decreases time to healing, provides cost-effective care, and improves patient quality of life.",3
110,Research into the mechanisms of wound healing has enhanced our ability to heal chronic wounds at a faster rate through the use of moisture-retentive dressings.,5
111,Newer dressings are incorporating the use of nanotechnology by incorporating miniature electrical sensors into the dressing.,9
112,These dressings are engineered to detect changes in a wound environment and alert the patient or practitioner by altering the color of the dressing or sending a message to a smartphone.,5
113,Additional investigations are underway that incorporate biologic material such as stem cells into dressings.,9
114,BACKGROUND: The 2009 American Joint Committee on Cancer criteria for thin cutaneous melanomas recommend staging sentinel lymph node (SLN) biopsy (SLNB) for select stage IB tumors.,18
115,SLNB in this population remains controversial because of low rates of node positivity and inconsistent prognostic parameters.,18
116,"OBJECTIVE: The purpose of this study was to examine the association between multiple clinicopathologic features and SLNB result, and clinical outcome.",18
117,METHODS: Clinical and pathologic parameters from patients with melanomas less than or equal to 1.00 mm receiving wide local excision with SLNB at our institution from 2001 through 2010 were recorded.,18
118,Analysis for any statistically significant relationships between recorded parameters and SLN results and outcome were performed.,17
119,RESULTS: A total of 189 cases yielded 3 positive SLNBs (1.6%).,17
120,Disease progression occurred in 6 cases (3.2%).,10
121,Positive SLNB predicted distant metastasis and death from disease (PÂ = .0017).,18
122,Mitotic rate was not associated with a positive SLNB result.,18
123,LIMITATIONS: The follow-up time for this study was limited (meanÂ = 40.7 months).,17
124,CONCLUSION: Our data confirm a statistically significant relationship between SLNB result and likelihood for distant metastasis in thin melanoma.,17
125,There was a trend for a relationship between mitotic rate and clinical outcome.,10
126,This relationship reached statistical significance at a mitotic rate of greater than 3 mitoses/mm(2).,18
127,"Both inherited and acquired hypercoagulable states can present with nonspecific clinical manifestations, such as petechiae, purpura, livedo reticularis, and ulcerations.",10
128,A good history and physical examination are crucial to diagnoses of these conditions.,18
129,"Inherited conditions tend to present either in neonatal period or later in life, while acquired conditions typically occur later in life.",10
130,Diagnostic studies are performed to identify the coagulation cascade deficiency or defect.,10
131,Treatment primarily hinges on anticoagulation and wound care.,5
132,"In this article, we provide an in-depth analysis of the clinical manifestations, diagnostic considerations, and management options of patients in hypercoagulable states.",10
133,Skin cancer is the most common form of cancer in the United States and accounts for an estimated 1 million new cases per year.,10
134,"In the white population, the rate of new melanomas diagnosed yearly has more than doubled from 5/100,000 in 1973 to 12/100,000 in 1990.",11
135,The current lifetime risks for white persons are estimated to be 28% to 33% for basal cell carcinoma and 7% to 11% for squamous cell carcinoma.,10
136,"Skin cancer is more common in sun-sensitive, fair-skinned individuals but can occur in any ethnic group, especially with exposure in tropical or sunny climates.",11
137,"Little is known about awareness of skin cancer, risk perception, and performance of skin self-examination (SSE) by people with skin that rarely burns.",10
138,"Our purpose was to evaluate skin cancer awareness, perceptions of skin cancer risk, and performance of SSE in a Hispanic versus non-Hispanic white population with similar access to health care and promotion.",17
139,One hundred forty people employed by a suburban city voluntarily attended a free skin cancer screening and completed a self-administered survey.,11
140,Hispanic individuals reported decreased skin sensitivity and tendency to burn.,11
141,"Non-Hispanic individuals believed they were at greater than average risk for skin cancer, and most Hispanics believed they were at average or below average risk.",11
142,None of the 27 Hispanics reported ever being taught SSE.,11
143,More non-Hispanics (32%) had performed SSE within the last year than Hispanics (15%).,11
144,Regular SSE was associated with a history of skin cancer.,10
145,Multimedia messages usually link skin cancer warning signs and early detection strategies with having sun-sensitive skin.,11
146,"People without sun sensitivity did not perceive themselves as being at risk, did not learn the warning signs of skin cancer, and did not perform SSE.",11
147,"Awareness of melanoma and non-melanoma skin cancer and perception of risk among Hispanics were less than among non-Hispanics, which may contribute to presentation for care at an advanced stage.",11
148,"OBJECTIVE: To investigate the efficacy, safety and tolerability of topical nalmefene (SRD174), a long acting opioid antagonist for the management of pruritus associated with atopic dermatitis (AD).",16
149,"DESIGN: Double-blind, vehicle-controlled, randomized, cross-over trial.",17
150,SETTING: Eleven dermatology outpatient clinics in the U.S.,17
151,PATIENTS: Sixty-two out of 136 screened adult subjects with confirmed AD affecting is less than or equal to 20% of body surface area and with moderate-to-severe pruritus.,11
152,INTERVENTIONS: SRD174 cream or matching vehicle cream applied as required during two 7-day periods separated by a wash-out period.,6
153,MAIN OUTCOME MEASURE(S): The primary efficacy variable was the period mean of the sum of pruritus intensity difference (SPID) from 0 to 4 hours (SPID0-4) where pruritus was measured on a 0-100 scale Visual Analog Scale (VAS) at seven pre-specified time-points following study drug application.,17
154,"A range of secondary efficacy, safety and tolerance endpoints were included.",17
155,"RESULTS: The LS means for the SPID0-4 (+/- SD) for SRD174 cream and Vehicle were 210.7 (20.4) and 212.1 (20.2), respectively (Difference = -1.3 (95% CI: -25.9, 23.3).",7
156,None of the secondary efficacy endpoints tested demonstrated a statistically significant or clinically important difference between the test product and the vehicle.,7
157,"Overall, the SRD174 cream was well tolerated although there was a higher incidence of AEs when subjects took SRD174 cream (22, 36.7 percent of subjects) compared with when they were taking vehicle (14, 23.3 percent of subjects).",16
158,CONCLUSIONS: SRD174 cream did not demonstrate efficacy in the treatment of pruritus associated with atopic dermatitis raising questions on the role of peripheral opioid receptors as a target for the treatment of pruritus in this population.,7
159,The successful treatment of hand dermatitis (HD) depends less on the selection of the proper topical steroid or a particular systemic agent than on addressing any underlying cause or perpetuating factor.,5
160,"Thus, innovative treatment is based on comprehensively addressing the patient's problem.",5
161,Aggressive approaches may be required for the most severe forms of HD.,5
162,"Atopic dermatitis is a chronic, relapsing inflammatory skin disease that frequently affects infants and children.",10
163,The worldwide prevalence of atopic dermatitis is estimated to be 5-20% of the pediatric population.,10
164,Studies have shown that atopic dermatitis is associated with considerable economic costs and decreased quality of life.,3
165,"There is no proven curative therapy at present for atopic dermatitis; first-line therapy has generally consisted of dry skin care, avoidance of triggers, application of topical corticosteroids, and administration of histamine H1 receptor antagonists (antihistamines) and oral antibacterials as appropriate.",5
166,"Topical corticosteroids, while effective in many patients, carry the concern of local and systemic adverse effects.",16
167,"As a result, physicians and patients are reluctant to utilize stronger topical corticosteroids in certain areas of the body and for prolonged periods of time.",16
168,The purpose of this article is to review the efficacy and economics of topical calcineurin inhibitors in the treatment of atopic dermatitis.,3
169,This new class of agents (specifically tacrolimus ointment and pimecrolimus cream) represents an exciting advance in the treatment of atopic dermatitis.,5
170,Clinical data show that topical calcineurin inhibitors are effective and do not cause the adverse effects associated with topical corticosteroids.,7
171,Several studies have provided evidence that topical calcineurin inhibitors positively affect the quality of life of patients and their caregivers.,7
172,"Compared with branded topical corticosteroids and previous standards of care, topical calcineurin inhibitors appear to be a cost-effective treatment option.",3
173,Drawing comparisons between tacrolimus and pimecrolimus is difficult because definitive head-to-head comparative studies involving these drugs have not been conducted.,2
174,"High-potency topical corticosteroids are very effective for the treatment of psoriasis, but are associated with a number of cutaneous adverse effects.",7
175,Vitamin D modulators have emerged as an important alternative to corticosteroids for the long-term topical treatment of psoriasis.,5
176,Calcitriol 3 microg/g ointment has long been used to treat psoriasis in Europe and is now the only vitamin D3 ointment available for use in the United States (U.S.).,5
177,"Several randomized clinical trials have compared the safety, efficacy, and cosmetic acceptability of calcitriol ointment with other topical psoriasis therapies.",17
178,"In a three-week investigator-blinded study of 25 healthy subjects, calcitriol 3microg/g ointment was associated with markedly less cumulative skin irritation than was calcipotriene ointment.",2
179,"A multicenter, investigator-blinded study of patients with psoriasis found that investigator-rated global improvement of psoriasis symptoms with calcitriol ointment was statistically noninferior to calcipotriene ointment and that calcitriol use produced significantly fewer patients with cutaneous reactions or discomfort.",7
180,A multicenter clinical trial of patients with psoriasis who had lesions affecting sensitive skin areas found that calcitriol use produced less skin irritation than did calcipotriene and was generally preferred to calcipotriene ointment by patients.,2
181,Calcitriol was also significantly more effective for the treatment of psoriasis lesions affecting flexural areas.,7
182,"In another study, patients who received calcitriol ointment exhibited improvement in psoriasis symptoms that was similar to the corticosteroid betamethasone propionate, but were much less likely to have relapsed eight weeks after treatment discontinuation.",7
183,"Two clinical studies also suggested that calcitriol is similar in efficacy to short-contact dithranol, but with a lower incidence of skin irritation and staining.",7
184,"Together, the results of these studies demonstrate that calcitriol 3 microg/g ointment is a significant new option for topical therapy of psoriasis.",5
185,"Calcitriol ointment produces improvement in psoriasis symptoms that is generally similar to the improvement attained with other (except for high potency steroid) topical psoriasis therapies, with a low incidence of adverse events.",7
186,"Financial relationships exist among industry, scientific investigators, and academic medical centers.",17
187,"These relationships can foster research in the basic sciences, clinical trials, health economics evaluations, and other outcomes assessment studies.",17
188,"To govern the conduct of burden-of-illness and outcomes research studies involving collaborations between industry and academia, we propose voluntary standards related to: 1) the development of and adherence to standards for research conduct and reporting; 2) disclosure, discussion, and management of potential impacts of financial conflicts of interest; and 3) transparency in research methods and open access to study results.",17
189,"PURPOSE OF REVIEW: The classic role of topical and systemic corticosteroids for allergic dermatoses is discussed, with special attention to the impact on the current clinical treatment paradigm by newer systemic and topical therapies.",5
190,These products are reviewed and recommendations presented on how to effectively assimilate them into clinical practice.,17
191,RECENT FINDINGS: Current knowledge about the etiopathogenesis of atopic dermatitis has resulted in drug development focused on agents with less toxicity than current topical and systemic corticosteroids.,5
192,Some agents with ceramide/cholesterol/acid combinations demonstrate efficacy in restoring the dysfunctional skin barrier of atopic patients.,7
193,Concerns resulting from the recent Federal Drug Administration announcement regarding a theoretical risk of cancer associated with topical calcineurin inhibitors are also addressed.,16
194,Novel therapeutic entities are presented.,9
195,SUMMARY: Patients seeking relief from atopic dermatitis have historically had few really effective and safe therapeutic options.,5
196,Topical calcineurin inhibitors represent an exciting new therapy for atopic dermatitis without the side-effect profile associated with topical corticosteroids.,5
197,"Nonsteroidal formulations incorporating glycyrrhetinic acid/telmesteine/Vitis vinifera extract and palmitoylethanolamide as 'active' ingredients recently entered the market, stressing antipruritic, antiinflammatory, and skin barrier repair.",5
198,This confabulates against previously designed topical therapy paradigms.,5
199,These new products may be used as monotherapy or alternatives to steroid agents.,5
200,BACKGROUND: Tofacitinib is an oral Janus kinase inhibitor being investigated for psoriasis.,8
201,OBJECTIVES: To determine the 16-week efficacy and safety of two oral tofacitinib doses vs. placebo in patients with moderate-to-severe chronic plaque psoriasis.,7
202,"METHODS: Patients in two similarly designed phase III studies (OPT Pivotal 1, NCT01276639, n = 901; OPT Pivotal 2, NCT01309737, n = 960) were initially randomized 2 : 2 : 1 to tofacitinib 10 or 5 mg or placebo, twice daily.",6
203,Coprimary efficacy end points (week 16) included the proportion of patients achieving Physician's Global Assessment (PGA) of 'clear' or 'almost clear' (PGA response) and the proportion achieving â‰¥ 75% reduction in Psoriasis Area and Severity Index (PASI 75).,18
204,"RESULTS: Across OPT Pivotal 1 and OPT Pivotal 2, 745 patients received tofacitinib 5 mg, 741 received tofacitinib 10 mg and 373 received placebo.",6
205,"At week 16, a greater proportion of patients achieved PGA responses with tofacitinib 5 and 10 mg twice daily vs. placebo (OPT Pivotal 1, 41Â·9% and 59Â·2% vs. 9Â·0%; OPT Pivotal 2, 46Â·0% and 59Â·1% vs. 10Â·9%; all P < 0Â·001).",2
206,"Higher PASI 75 rates were observed with tofacitinib vs. placebo (OPT Pivotal 1, 39Â·9%, 59Â·2% and 6Â·2%, respectively, for tofacitinib 5 and 10 mg twice daily and placebo; OPT Pivotal 2, 46Â·0%, 59Â·6% and 11Â·4%; all P < 0Â·001 vs. placebo).",7
207,"Adverse event (AE) rates appeared generally similar across groups; rates of serious AEs, infections, malignancies and discontinuations due to AEs were low.",16
208,Twelve patients reported herpes zoster across the tofacitinib treatment groups in both studies vs. none in the respective placebo groups.,16
209,The most common AE across groups was nasopharyngitis.,16
210,CONCLUSIONS: Oral tofacitinib demonstrated significant efficacy vs. placebo during the initial 16 weeks of treatment in patients with moderate-to-severe psoriasis.,7
211,Safety findings were consistent with prior studies.,16
212,"PURPOSE: To evaluate the safety and efficacy of dapsone gel 5% in the treatment of acne when used in combination with adapalene gel 0.1%, benzoyl peroxide gel 4% or moisturizer.",7
213,"METHODS: This was a twelve-week, randomized, double-blind study.",17
214,"Patients aged 12 years and older (n=301) applied dapsone gel twice daily and were randomly assigned (1:1:1) to one of three additional treatments, applied once daily.",17
215,"RESULTS: By week 12, dapsone gel combined with any of the three additional treatments reduced the mean number of inflammatory lesions.",7
216,"However, the authors did not detect a significant difference in the reduction of inflammatory lesions when dapsone was used in combination with adapalene gel or with benzoyl peroxide gel compared to the dapsone plus moisturizer combination group (P=0.052 for both versus moisturizer combination).",2
217,Patients treated with dapsone gel combined with adapalene showed a significantly better response in reduction in non-inflammatory and total acne lesion count than those who received the moisturizer combination.,2
218,Local adverse reactions in all three treatment groups were minimal and generally mild in severity.,16
219,CONCLUSION: Dapsone gel in combination with adapalene gel or benzoyl peroxide gel is safe and well tolerated for the treatment of acne vulgaris.,16
220,"PURPOSE: To evaluate the safety and efficacy of dapsone gel 5% in the treatment of acne when used in combination with adapalene gel 0.1%, benzoyl peroxide gel 4% or moisturizer.",7
221,"METHODS: This was a twelve-week, randomized, double-blind study.",17
222,"Patients aged 12 years and older (n=301) applied dapsone gel twice daily and were randomly assigned (1:1:1) to one of three additional treatments, applied once daily.",17
223,"RESULTS: By week 12, dapsone gel combined with any of the three additional treatments reduced the mean number of inflammatory lesions.",7
224,"However, the authors did not detect a significant difference in the reduction of inflammatory lesions when dapsone was used in combination with adapalene gel or with benzoyl peroxide gel compared to the dapsone plus moisturizer combination group (P=0.052 for both versus moisturizer combination).",2
225,Patients treated with dapsone gel combined with adapalene showed a significantly better response in reduction in non-inflammatory and total acne lesion count than those who received the moisturizer combination.,2
226,Local adverse reactions in all three treatment groups were minimal and generally mild in severity.,16
227,CONCLUSION: Dapsone gel in combination with adapalene gel or benzoyl peroxide gel is safe and well tolerated for the treatment of acne vulgaris.,16
228,"BACKGROUND: A novel topical foam formulation of ketoconazole has been developed for use on the scalp, body, and face.",9
229,"OBJECTIVE: To evaluate the efficacy and safety of twice-daily treatment with ketoconazole 2% foam for seborrheic dermatitis on the scalp, body, and face.",5
230,"METHODS: One thousand one hundred sixty-two subjects, aged 12 years or older, with mild to severe seborrheic dermatitis were randomized to receive ketoconazole foam (n=427), vehicle foam (n=420), ketoconazole cream (n=210), or vehicle cream (n=105) twice daily for 4 weeks.",17
231,The primary endpoint was the proportion of subjects achieving an Investigator's Static Global Assessment score of 0 or 1 at week 4 (treatment success).,17
232,"RESULTS: A significantly greater percentage of subjects achieved treatment success using ketoconazole foam than vehicle foam (56% and 42%, respectively; P<.0001); ketoconazole foam was shown to be equivalent to ketoconazole cream.",2
233,Ketoconazole foam was well-tolerated with a low incidence of treatment-related adverse events (14%; 59/427).,16
234,"CONCLUSION: Ketoconazole foam 2% is a safe, effective, and versatile formulation for use on the scalp, body, and face for the treatment of seborrheic dermatitis in patients aged 12 years or older.",5
235,"BACKGROUND: The use of expert opinion is widespread in economic studies of healthcare utilisation; however, few studies have attempted to assess the validity of assumptions derived from such sources.",17
236,"OBJECTIVE: To examine the use of such expert opinion in determining comorbidities associated with atopic dermatitis/eczema (AD/E), which were assessed as part of a recent third-party payer cost-of-illness study.",3
237,"DESIGN: To identify the disease-related comorbidities that would represent costs associated with AD/E, physicians on an expert panel were asked individually and then collectively to group all International Classification of Diseases, 9(th) Edition-Clinical Modification (ICD-9-CM) diagnosis codes as 'most likely', 'possibly' or 'definitely not' related to the costs of identifying and treating patients with AD/E.",3
238,Claims representing $US464 million in payer reimbursements from nearly 125 000 patients with AD/E were identified within two separate claims databases (1997 values).,3
239,Over 850 ICD-9-CM diagnosis codes were identified in the first-listed position from these claims.,17
240,"For each group of 'most likely', 'possibly' and 'definitely not' related diagnosis codes, prevalence rates were compared within AD/E and non-AD/E populations from the two historical payer claims databases.",17
241,Adjusted and non-adjusted odds ratios were calculated by comparing prevalence rates between AD/E and non-AD/E patients in the same payer population.,17
242,RESULTS: The mean prevalence rate of any diagnosis code in the AD/E population was 0.65 +/- 1.82% (SD) with a mean odds ratio of 1.81 +/- 0.96.,10
243,Comorbidities considered by the expert panel 'most likely' to be associated with AD/E had higher prevalence rates (3.28 +/- 3.63%) and odds ratios (2.14 +/- 1.14).,10
244,"Comorbidities considered to be 'possibly' related to AD/E had prevalence rates and odds ratios of 3.01 +/- 5.06% and 1.84 +/- 0.82, respectively.",10
245,Comorbidities considered to be 'definitely not' related to AD/E had the lowest prevalence rates (0.45 +/- 1.09%) and odds ratios (1.80 +/- 0.97).,10
246,CONCLUSIONS: Comparing the result of consensus panels with actual claims histories validated the use of expert opinion in determining comorbidities associated with AD/E.,10
